Neighborhood-Latitude,Neighborhood-Longitude,Postal Code,Venue,Venue_Category,Venue_Latitude,Venue_Longitude,Count
43.718517999999996,-79.46476329999999,M6A,Fairweather,Women's Store,43.71787829,-79.46724603,1
43.718517999999996,-79.46476329999999,M6A,Urban Planet,Clothing Store,43.718121,-79.467567,1
43.718517999999996,-79.46476329999999,M6A,Lens Mills,Arts & Crafts Store,43.71913704692334,-79.46196899954919,1
43.718517999999996,-79.46476329999999,M6A,Party City,Miscellaneous Shop,43.71941805471303,-79.459316806156,1
43.6623015,-79.3894938,M7A,Queen's Park,Park,43.66394609897775,-79.39217952520835,1
43.6623015,-79.3894938,M7A,Neo Coffee Bar,Coffee Shop,43.66014,-79.38587,1
43.6623015,-79.3894938,M7A,Central YMCA,Distribution Center,43.663083310067655,-79.38502493214878,1
43.6623015,-79.3894938,M7A,T-Swirl Crepe,Creperie,43.663452,-79.384125,1
43.6623015,-79.3894938,M7A,Starbucks,Coffee Shop,43.65945605353152,-79.39041123272168,1
43.6623015,-79.3894938,M7A,Starbucks,Coffee Shop,43.662407,-79.385943,1
43.6623015,-79.3894938,M7A,Curry's Art Store Ltd.,Arts & Crafts Store,43.66283810530193,-79.38373201352064,1
43.6623015,-79.3894938,M7A,The Yoga Sanctuary,Yoga Studio,43.661499497597596,-79.38363613350754,1
43.6623015,-79.3894938,M7A,Bar Volo,Beer Bar,43.66546184849369,-79.38569158315659,1
43.6623015,-79.3894938,M7A,Tokyo Sushi,Sushi Restaurant,43.665885330936845,-79.38697684868161,1
43.6623015,-79.3894938,M7A,Burrito Bandidos,Burrito Place,43.662962178169344,-79.38395554190546,1
43.6623015,-79.3894938,M7A,Como En Casa,Mexican Restaurant,43.66516,-79.384796,1
43.6623015,-79.3894938,M7A,401 Games,Hobby Shop,43.663623277853254,-79.3840374323983,1
43.6623015,-79.3894938,M7A,Coach House Restaurant,Diner,43.66499059853204,-79.38481415727767,1
43.6623015,-79.3894938,M7A,Hart House Theatre,Theater,43.66357134217992,-79.3946163990837,1
43.6623015,-79.3894938,M7A,Flock Rotisserie + Greens,Fried Chicken Joint,43.659167,-79.389475,1
43.6623015,-79.3894938,M7A,Fran's,Diner,43.661255320138636,-79.38389304122866,1
43.6623015,-79.3894938,M7A,Starbucks,Coffee Shop,43.661527,-79.383411,1
43.6623015,-79.3894938,M7A,Starbucks,Coffee Shop,43.658204,-79.388998,1
43.6623015,-79.3894938,M7A,Booster Juice,Smoothie Shop,43.65865699,-79.38868207,1
43.6623015,-79.3894938,M7A,RBC Royal Bank,Bank,43.65933603842843,-79.38977326176165,1
43.6623015,-79.3894938,M7A,Subway,Sandwich Place,43.65897011920262,-79.3908742539673,1
43.6623015,-79.3894938,M7A,Tim Hortons,Coffee Shop,43.6610382,-79.3937966,1
43.6623015,-79.3894938,M7A,Aroma Espresso Bar,Café,43.658927676749364,-79.38990298985978,1
43.6623015,-79.3894938,M7A,Starbucks,Coffee Shop,43.660887,-79.39372,1
43.6623015,-79.3894938,M7A,Convocation Hall,College Auditorium,43.66082829233904,-79.39524545662506,1
